Genes	description
Gm24183	predicted gene, 24183
Vmn2r-ps58	vomeronasal 2, receptor, pseudogene 58
Gm2214	60S ribosomal protein L35a pseudogene
Zfp259	NA
Dntt	deoxynucleotidyltransferase, terminal
4930544L04Rik	RIKEN cDNA 4930544L04 gene
Col6a1	collagen, type VI, alpha 1
Gm22002	NA
2610303G11Rik	RIKEN cDNA 2610303G11 gene
Gm10175	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9) pseudogene
Rpl35a-ps7	ribosomal protein L35A, pseudogene 7
Fate1	fetal and adult testis expressed 1
mt-Ts1	NA
Pik3ap1	phosphoinositide-3-kinase adaptor protein 1
4930431P03Rik	RIKEN cDNA 4930431P03 gene
Ighv1-30	immunoglobulin heavy variable 1-30
Gm25147	predicted gene, 25147
Gm25060	NA
Gm25654	NA
Col10a1	collagen, type X, alpha 1
Scgb2b20	secretoglobin, family 2B, member 20
Zdhhc4	zinc finger, DHHC domain containing 4
Ppl	periplakin
Gm24369	NA
Myoc	myocilin
Gm12791	growth factor receptor bound protein 2 pseudogene
Csde1	cold shock domain containing E1, RNA binding
Gm8550	translation machinery associated 16 pseudogene
Gm21958	NA
Ckb	creatine kinase, brain
Htr2c	5-hydroxytryptamine (serotonin) receptor 2C
Gm2155	predicted gene 2155
2810442N19Rik	RIKEN cDNA 2810442N19 gene
A430110L20Rik	RIKEN cDNA A430110L20 gene
Gm10722	NA
Supt7l	SPT7-like, STAGA complex gamma subunit
Gtl3	NA
Gm15455	predicted gene 15455
Sec31b	SEC31 homolog B, COPII coat complex component
Mir10a	microRNA 10a
Gm26252	NA
Gm11025	serum/glucocorticoid regulated kinase 1 pseudogene
Kdm5c	lysine demethylase 5C
Gm13992	60S ribosomal protein L39 pseudogene
Tmem255b	transmembrane protein 255B
Bst2	bone marrow stromal cell antigen 2
Atoh8	atonal bHLH transcription factor 8
Gm26540	NA
Cenpw	centromere protein W
Gm13606	NA
Gm23062	NA
Gm1720	predicted gene 1720
Gm12438	NA
mmu-mir-6939	NA
Gm23494	predicted gene, 23494
Gm22269	predicted gene, 22269
Gm10658	predicted gene 10658
Rpl21-ps4	ribosomal protein L21, pseudogene 4
Gm26575	NA
Gm26678	NA
Mirlet7d	microRNA let7d
Mrgprb5	MAS-related GPR, member B5
Stra8	stimulated by retinoic acid gene 8
Gm13180	predicted gene 13180
Trmt2a	TRM2 tRNA methyltransferase 2A
Vstm5	V-set and transmembrane domain containing 5
9230009I02Rik	RIKEN cDNA 9230009I02 gene
Gm21598	NA
Lims2	LIM and senescent cell antigen like domains 2
Rps24	ribosomal protein S24
Gm17065	NA
Uggt1	UDP-glucose glycoprotein glucosyltransferase 1
Nicn1	nicolin 1
Trim52	tripartite motif-containing 52
Gm25482	predicted gene, 25482
RP23-341H6.1	NA
Gm11940	NA
Gm9085	transcription initiation factor IIA subunit 1-like
Asb18	ankyrin repeat and SOCS box-containing 18
Arxes1	adipocyte-related X-chromosome expressed sequence 1
Itpka	inositol 1,4,5-trisphosphate 3-kinase A
Gm26914	NA
Gm22391	predicted gene, 22391
Gm24632	NA
Gm22418	predicted gene, 22418
Tpm3	tropomyosin 3, gamma
Gm26745	NA
Gm24428	NA
Nup133	nucleoporin 133
Gm22976	NA
Rergl	RERG/RAS-like
Apbb1ip	amyloid beta precursor protein binding family B member 1 interacting protein
Gm26514	NA
Hmces	5-hydroxymethylcytosine (hmC) binding, ES cell specific
Thnsl2	threonine synthase-like 2 (bacterial)
Arntl	NA
Taf1c	TATA-box binding protein associated factor, RNA polymerase I, C
Gm20407	NA
Gm20783	predicted gene, 20783
Gm22972	predicted gene, 22972
Pbxip1	pre B cell leukemia transcription factor interacting protein 1
Oaz1	ornithine decarboxylase antizyme 1
Gm23275	predicted gene, 23275
Gm23350	predicted gene, 23350
Tmprss13	transmembrane protease, serine 13
Gm13079	NA
Dcun1d3	defective in cullin neddylation 1 domain containing 3
Gm20530	NA
Gm22221	predicted gene, 22221
Gm8946	NA
Gng7	guanine nucleotide binding protein (G protein), gamma 7
Otof	otoferlin
Cyp2c70	cytochrome P450, family 2, subfamily c, polypeptide 70
Gm8225	ribosomal protein S2 pseudogene
Gm21530	predicted gene, 21530
Cbx4	chromobox 4
Cbx5	chromobox 5
Spon2	spondin 2, extracellular matrix protein
Elavl2	ELAV like RNA binding protein 1
4930547M16Rik	RIKEN cDNA 4930547M16 gene
Zbtb7a	zinc finger and BTB domain containing 7a
Sec24b	SEC24 homolog B, COPII coat complex component
Ccdc91	coiled-coil domain containing 91
Gm27028	NA
Phf1	PHD finger protein 1
PCGEM1	NA
Gm22877	NA
Zbtb20	zinc finger and BTB domain containing 20
Mir196a-2	microRNA 196a-2
BC028471	cDNA sequence BC028471
Tifab	TRAF-interacting protein with forkhead-associated domain, family member B
Sc4mol	NA
Aplf	aprataxin and PNKP like factor
Gm22145	predicted gene, 22145
Psen1	presenilin 1
Mir669d-2	microRNA 669d-2
Gm11704	40S ribosomal protein S28 pseudogene
Olfr948	NA
Gm25421	predicted gene, 25421
Gm23555	predicted gene, 23555
Zdhhc25	zinc finger, DHHC domain containing 25
Folh1	folate hydrolase 1
Vmn2r-ps19	vomeronasal 2, receptor, pseudogene 19
Gm6798	developmental pluripotency associated 5 pseudogene
Mecp2	methyl CpG binding protein 2
Mir743	microRNA 743
Fam46c	NA
Klhdc4	kelch domain containing 4
Aanat	arylalkylamine N-acetyltransferase
Mir467g	microRNA 467g
Gm21877	predicted gene, 21877
Sirt4	sirtuin 4
Ovch2	ovochymase 2
Snord58b	small nucleolar RNA, C/D box 58B
Dcaf11	DDB1 and CUL4 associated factor 11
Gm11951	predicted gene 11951
Slc4a10	solute carrier family 4, sodium bicarbonate cotransporter-like, member 10
Pomgnt2	protein O-linked mannose beta 1,4-N-acetylglucosaminyltransferase 2
Itih4	inter alpha-trypsin inhibitor, heavy chain 4
Mavs	mitochondrial antiviral signaling protein
Rbpsuh-ps1	NA
Gm590	NA
Cacng3	calcium channel, voltage-dependent, gamma subunit 3
1810059C17Rik	RIKEN cDNA 1810059C17 gene
Ighv9-1	immunoglobulin heavy variable 9-1
Gabrg1	gamma-aminobutyric acid type A receptor subunit gamma 1
Gm7855	predicted gene 7855
1810063I02Rik	RIKEN cDNA 1810063I02 gene
Mrps10	mitochondrial ribosomal protein S10
Nol3	nucleolar protein 3 (apoptosis repressor with CARD domain)
Odf3l2	NA
Atp2b1	ATPase, Ca++ transporting, plasma membrane 1
Ighd3-1	immunoglobulin heavy diversity 3-1
Gm25275	predicted gene, 25275
Gm11610	NA
Gm12440	predicted gene 12440
Rad18	RAD18 E3 ubiquitin protein ligase
Snhg11	small nucleolar RNA host gene 11
4930422G04Rik	NA
n-R5s160	NA
Gm15733	NA
Vmn1r-ps18	vomeronasal 1 receptor, pseudogene 18
Muc1	mucin 1, transmembrane
4430402I18Rik	NA
Plin4	perilipin 4
Gm15215	NA
Gm13378	PHD finger protein 3 pseudogene
Nat14	N-acetyltransferase 14
Gm16334	NA
Trpm8	transient receptor potential cation channel, subfamily M, member 8
Gm14661	predicted gene 14661
Gm15159	ribosomal protein L7 pseudogene
Vmn1r87	vomeronasal 1 receptor 87
Olfr568	NA
4930467E23Rik	NA
Gm24180	NA
Gm15275	NA
Nars	NA
1700112D23Rik	RIKEN cDNA 1700112D23 gene
Agfg2	ArfGAP with FG repeats 2
5S_rRNA	NA
Gm13753	NA
1700121F15Rik	NA
Smdt1	single-pass membrane protein with aspartate rich tail 1
Gm6055	microtubule-associated protein 1 light chain 3 pseudogene 2
Rfc5	replication factor C (activator 1) 5
Dusp26	dual specificity phosphatase 26
Gm6264	predicted gene 6264
Olfr1480	NA
Vwa5b2	von Willebrand factor A domain containing 5B2
Gm21728	predicted gene, 21728
Gm21752	predicted gene, 21752
Gm17045	predicted gene 17045
Alyref2	Aly/REF export factor 2
Nyx	nyctalopin
Gm21155	predicted gene, 21155
Gm13476	NA
Gm15426	ribosomal protein L19 pseudogene
Gm21776	NA
Gm12590	NA
Olfr1457	NA
Creld1	cysteine-rich with EGF-like domains 1
Matr3-ps2	matrin 3, pseudogene 2
Jmjd1c	jumonji domain containing 1C
Gm10234	NA
Sema4d	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D
Copz2	coatomer protein complex, subunit zeta 2
Spata31d1d	spermatogenesis associated 31 subfamily D, member 1D
uc_338	NA
Scgb1b3	secretoglobin, family 1B, member 3
Wdr38	WD repeat domain 38
Actn4	actinin alpha 4
Yipf7	Yip1 domain family, member 7
0610009E02Rik	RIKEN cDNA 0610009E02 gene
Cyb561d1	cytochrome b-561 domain containing 1
Gm7954	predicted gene 7954
Myo7a	myosin VIIA
Trpm6	transient receptor potential cation channel, subfamily M, member 6
Nptx2	neuronal pentraxin 2
Tdpoz4	TD and POZ domain containing 4
Gm26484	NA
Dennd2c	DENN domain containing 2C
Wdr16	NA
Tyk2	tyrosine kinase 2
Olfr358	NA
Olfr782	NA
Pcif1	phosphorylated CTD interacting factor 1
Crygs	crystallin, gamma S
Gm11752	NA
Klhl1	kelch-like 1
Ing1	inhibitor of growth family, member 1
Srsx	serine-rich, secreted, X-linked
Gm17332	NA
Gm24377	predicted gene, 24377
Fam160a1	NA
Gm16026	NA
2510049J12Rik	NA
Gm16415	ribosomal protein L21 pseudogene
Gm8425	60S ribosomal protein L7a pseudogene
Zfp184	zinc finger protein 184 (Kruppel-like)
Rprd2	regulation of nuclear pre-mRNA domain containing 2
Fuk	NA
Gm13507	NA
Mkl2	NA
Trdj2	T cell receptor delta joining 2
Gm8604	glyceraldehyde-3-phosphate dehydrogenase pseudogene
M1ap	meiosis 1 associated protein
Galr2	galanin receptor 2
Gm14165	ribosomal protein, large, P0 pseudogene
Slc39a10	solute carrier family 39 (zinc transporter), member 10
Napa	N-ethylmaleimide sensitive fusion protein attachment protein alpha
n-R5s2	nuclear encoded rRNA 5S 2
Crk	v-crk avian sarcoma virus CT10 oncogene homolog
Heatr6	HEAT repeat containing 6
Gm25357	predicted gene, 25357
Gm14011	NA
Gm14566	NA
Swap70	SWA-70 protein
Gm15214	NA
B4galt5	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5
Gm7658	eukaryotic translation initiation factor 3, subunit M pseudogene
Olfr857	NA
Gm14657	NA
Zfp572	zinc finger protein 572
Gm11266	predicted gene 11266
Trav12-1	T cell receptor alpha variable 12-1
Tmprss11g	transmembrane protease, serine 11g
Vwa3b	von Willebrand factor A domain containing 3B
Klra4	killer cell lectin-like receptor, subfamily A, member 4
Gm10322	predicted gene 10322
Gm4861	predicted gene 4861
Gm11334	60S ribosomal protein L39 pseudogene
Hs1bp3	HCLS1 binding protein 3
Prok1	prokineticin 1
Gpr4	G protein-coupled receptor 4
Gm18889	heterogeneous nuclear ribonucleoprotein C pseudogene
Ermn	ermin, ERM-like protein
Mcph1	microcephaly, primary autosomal recessive 1
Myo1f	myosin IF
Pisd-ps2	phosphatidylserine decarboxylase, pseudogene 2
Gm23229	predicted gene, 23229
Ctnnb1	catenin beta 1
9630001P10Rik	RIKEN cDNA 9630001P10 gene
Gm12658	NA
Gm23355	predicted gene, 23355
Kif15	kinesin family member 15
Mcm9	minichromosome maintenance 9 homologous recombination repair factor
Gm5472	pescadillo homolog 1, containing BRCT domain pseudogene
Gm24990	NA
Gm12679	predicted gene 12679
Gm24117	predicted gene, 24117
Gm24217	NA
Gm16755	predicted gene, 16755
Gm12537	glyceraldehyde-3-phosphate dehydrogenase pseudogene
D330023K18Rik	RIKEN cDNA D330023K18 gene
Mdga2	MAM domain containing glycosylphosphatidylinositol anchor 2
Gm26120	NA
Olfr441	NA
RP23-163B8.5	NA
Ccdc41	NA
mmu-mir-6406	NA
Gm25364	predicted gene, 25364
Gm9089	NA
Gm24942	predicted gene, 24942
Dguok	deoxyguanosine kinase
Pramef17	NA
RP23-235K2.1	NA
mmu-mir-8097	NA
Gm11756	NA
2900055J20Rik	NA
Csf2rb2	colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)
Gm12763	predicted gene 12763
Xkr7	X-linked Kx blood group related 7
Mroh3	maestro heat-like repeat family member 3
n-R5s34	NA
DAOA-AS1_1	NA
Gm25408	predicted gene, 25408
Olfr223	NA
Hspb1	heat shock protein 1
Lcn3	lipocalin 3
Mir466k	microRNA 466k
Gm9112	NA
mmu-mir-7216	NA
Snx9	sorting nexin 9
Igkv9-120	immunoglobulin kappa chain variable 9-120
Serpina3m	serine (or cysteine) peptidase inhibitor, clade A, member 3M
Ndufs1	NADH:ubiquinone oxidoreductase core subunit S1
Ankfn1	ankyrin-repeat and fibronectin type III domain containing 1
Gm21951	NA
Dao	D-amino acid oxidase
Tfip11	tuftelin interacting protein 11
Gm13010	predicted gene 13010
Gm11857	predicted gene 11857
Trim30a	tripartite motif-containing 30A
Gm13726	ribosomal protein L7A pseudogene
5430403G16Rik	NA
Traj30	T cell receptor alpha joining 30
Vmn1r61	vomeronasal 1 receptor 61
mmu-mir-6919	NA
Gm19980	predicted gene, 19980
Gm11449	60S ribosomal protein L29 pseudogene
Otop2	otopetrin 2
Msgn1	mesogenin 1
Ces2e	carboxylesterase 2E
Gm16432	NA
Mapre3	microtubule-associated protein, RP/EB family, member 3
Il16	interleukin 16
Elovl2	ELOVL fatty acid elongase 2
Gm13776	dyskeratosis congenita 1, dyskerin homolog pseudogene
Wdr70	WD repeat domain 70
Gm14529	predicted gene 14529
Mybbp1a	MYB binding protein (P160) 1a
Magix	MAGI family member, X-linked
Gm436	NA
Ano6	anoctamin 6
Ift80	intraflagellar transport 80
Phldb3	pleckstrin homology like domain, family B, member 3
Gm15082	NA
Gm11703	predicted gene 11703
Gm22022	predicted gene, 22022
Gm26555	predicted gene, 26555
mmu-mir-6989	NA
Gm15283	predicted gene 15283
Gm10238	predicted pseudogene 10238
Msi1	musashi RNA-binding protein 1
Gm23251	NA
Svip	small VCP/p97-interacting protein
Pttg1	pituitary tumor-transforming gene 1
Crhr1	corticotropin releasing hormone receptor 1
Slc26a8	solute carrier family 26, member 8
Pno1	partner of NOB1 homolog
Olfr642	NA
Gm13853	predicted gene 13853
Trbv31	T cell receptor beta, variable 31
mt-Tc	NA
Pcca	propionyl-Coenzyme A carboxylase, alpha polypeptide
Tcf15	transcription factor 15
Dsel	dermatan sulfate epimerase-like
Sp8	trans-acting transcription factor 8
Atraid	all-trans retinoic acid induced differentiation factor
Gm15760	mitochondrial ribosomal protein S18B pseudogene
Gm16099	predicted gene 16099
Gm15123	NA
Gm15538	predicted gene 15538
Scarna3b	small Cajal body-specific RNA 3B
Gm25732	NA
Tmem91	transmembrane protein 91
4933405D12Rik	RIKEN cDNA 4933405D12 gene
Rapgef4	Rap guanine nucleotide exchange factor (GEF) 4
Gm10295	predicted gene 10295
1700030C12Rik	RIKEN cDNA 1700030C12 gene
Mrps21	mitochondrial ribosomal protein S21
Gm20851	predicted gene, 20851
Trp53cor1	tumor protein p53 pathway corepressor 1
Lrfn2	leucine rich repeat and fibronectin type III domain containing 2
Olfr625-ps1	NA
Map3k4	mitogen-activated protein kinase kinase kinase 4
Csrp1	cysteine and glycine-rich protein 1
Fam49b	NA
Vmn2r-ps44	vomeronasal 2, receptor, pseudogene 44
Saa4	serum amyloid A 4
Gm8220	predicted gene 8220
Gm14765	NA
10-Mar	NA
Gpc2	glypican 2 cerebroglycan
Gstp1	glutathione S-transferase, pi 1
Igkv4-57	immunoglobulin kappa variable 4-57
Ubxn10	UBX domain protein 10
4921515E04Rik	RIKEN cDNA 4921515E04 gene
Pcdhb12	protocadherin beta 12
Gm5514	NA
Ccdc88c	coiled-coil domain containing 88C
4930511M11Rik	NA
Gm3625	predicted gene 3625
Stau1	staufen double-stranded RNA binding protein 1
Gm25276	predicted gene, 25276
Gm5916	predicted gene 5916
Gm15841	NA
AC113989.1	NA
F830208F22Rik	RIKEN cDNA F830208F22 gene
Snord1b	small nucleolar RNA, C/D box 1B
Txndc5	thioredoxin domain containing 5
Ssxb8	SSX member B8
Gm13161	tousled-like kinase 2 pseudogene
Zfp444	zinc finger protein 444
C330006A16Rik	NA
Gm11385	NA
Vmn1r6	vomeronasal 1 receptor 6
Olfr681	NA
P2rx6	purinergic receptor P2X, ligand-gated ion channel, 6
Gm11817	NA
Evf-2_5p	NA
Scml1	Scm polycomb group protein like 1
Gm15407	predicted gene 15407
Gm14069	NA
Pelo	pelota mRNA surveillance and ribosome rescue factor
Gm4952	predicted gene 4952
Tmem206	NA
Gm8453	NA
Gm17399	predicted gene, 17399
Gm10517	predicted gene 10517
4732440D04Rik	RIKEN cDNA 4732440D04 gene
Gm11879	NA
Trbj2-3	T cell receptor beta joining 2-3
Btg3	BTG anti-proliferation factor 3
Gm27006	NA
Gm24083	NA
Polg2	polymerase (DNA directed), gamma 2, accessory subunit
Olfr913	NA
Cylc2	cylicin, basic protein of sperm head cytoskeleton 2
Mtag2	metastasis associated gene 2
Gm24457	predicted gene, 24457
Lactbl1	lactamase, beta-like 1
Gm8078	NA
Gm12573	NA
Gnptab	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits
Gm10045	predicted pseudogene 10045
Cbl	Casitas B-lineage lymphoma
Gm23572	NA
Dhcr7	7-dehydrocholesterol reductase
Olfr587-ps1	NA
Msr1	macrophage scavenger receptor 1
Als2	alsin Rho guanine nucleotide exchange factor
n-R5s13	nuclear encoded rRNA 5S 13
4930503B20Rik	NA
Gm13787	predicted gene 13787
Clpsl2	colipase-like 2
Gm12668	NA
Zfp169	zinc finger protein 169
Wfdc10	WAP four-disulfide core domain 10
Gm25490	predicted gene, 25490
RP23-443P12.1	NA
Rpl34-ps1	ribosomal protein L34, pseudogene 1
1700093J21Rik	RIKEN cDNA 1700093J21 gene
Slc2a9	solute carrier family 2 (facilitated glucose transporter), member 9
Gm12798	NA
Itga1	integrin alpha 1
D13Ertd608e	NA
Gzmk	granzyme K
Gm12612	poly(A) binding protein, cytoplasmic 4 pseudogene
4930567H17Rik	RIKEN cDNA 4930567H17 gene
2900053O20Rik	NA
Gm7168	predicted gene 7168
Dnase2a	deoxyribonuclease II alpha
BC037034	NA
Gm21889	NA
Ptprq	protein tyrosine phosphatase receptor type Q
Ccser1	coiled-coil serine rich 1
Gm2445	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Gm15058	NA
Olfr525	NA
Ighv1-39	immunoglobulin heavy variable 1-39
Gm15217	predicted gene 15217
Gm14839	predicted gene 14839
Ugt8a	UDP galactosyltransferase 8A
Scyl1	SCY1-like 1 (S. cerevisiae)
Gm15983	predicted gene 15983
Gm2163	predicted gene 2163
Cep170	centrosomal protein 170
C630016N16Rik	NA
Gm10155	ribosomal protein L21 pseudogene
Ctag2	cancer/testis antigen 2
Gm12857	ribosomal protein S5 pseudogene
Sult1a1	sulfotransferase family 1A, phenol-preferring, member 1
Prtg	protogenin
Fam124a	family with sequence similarity 124, member A
Gm15998	predicted gene 15998
Svopl	SV2 related protein homolog (rat)-like
Shoc2	Shoc2, leucine rich repeat scaffold protein
Mup21	major urinary protein 21
B4galt3	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3
Gm11858	predicted gene 11858
Ubtfl1	upstream binding transcription factor, RNA polymerase I-like 1
Gm15249	NA
Gm25920	NA
Sorbs1	sorbin and SH3 domain containing 1
Gm22709	NA
Gm22577	predicted gene, 22577
Gm23516	predicted gene, 23516
Dcp2	decapping mRNA 2
Nradd	neurotrophin receptor associated death domain
Tfam	transcription factor A, mitochondrial
AC096625.1	NA
PCA3_1	NA
Gm12046	predicted gene 12046
Gm10360	NA
1700036O09Rik	RIKEN cDNA 1700036O09 gene
Lrrn3	leucine rich repeat protein 3, neuronal
Eva1a	eva-1 homolog A, regulator of programmed cell death
Nr0b2	nuclear receptor subfamily 0, group B, member 2
Gm22551	NA
Zp3	zona pellucida glycoprotein 3
Ncoa1	nuclear receptor coactivator 1
Atp8b1	ATPase, class I, type 8B, member 1
Pkia	protein kinase inhibitor, alpha
Ripk1	receptor (TNFRSF)-interacting serine-threonine kinase 1
Zfp114	zinc finger protein 114
n-R5s63	NA
Gm10264	NA
Gm24103	NA
Maob	monoamine oxidase B
Bclaf1	BCL2-associated transcription factor 1
Gm25848	predicted gene, 25848
4930417H01Rik	RIKEN cDNA 4930417H01 gene
Epn2	epsin 2
Gm14802	heterogeneous nuclear ribonucleoprotein M pseudogene
Vmn2r-ps34	vomeronasal 2, receptor, pseudogene 34
Zranb3	zinc finger, RAN-binding domain containing 3
Olfr1164	NA
Gm12489	NA
Znrf3	zinc and ring finger 3
Gm21825	predicted gene, 21825
Vmn2r120	vomeronasal 2, receptor 120
BC051537	cDNA sequence BC051537
Gm23854	NA
Fen1	flap structure specific endonuclease 1
Krt12	keratin 12
Gm8398	predicted gene 8398
4930566N20Rik	RIKEN cDNA 4930566N20 gene
Cldn24	claudin 24
Gm9133	predicted pseudogene 9133
Pom121l2	POM121 transmembrane nucleoporin like 2
1700030J22Rik	RIKEN cDNA 1700030J22 gene
Vgll4	vestigial like family member 4
Gm12280	predicted gene 12280
Gm7672	predicted gene 7672
Gm16581	serine/arginine repetitive matrix 2 pseudogene
Haus3	HAUS augmin-like complex, subunit 3
Gm11415	predicted gene 11415
Gm20470	predicted gene 20470
Gm26510	predicted gene, 26510
Taf4a	NA
Myocd	myocardin
Gm23777	NA
mmu-mir-6355	NA
Gm13648	predicted gene 13648
Gm26838	predicted gene, 26838
Mcoln3	mucolipin 3
Suz12	SUZ12 polycomb repressive complex 2 subunit
Klrb1b	killer cell lectin-like receptor subfamily B member 1B
Cbr4	carbonyl reductase 4
Gm15178	NA
Rragb	Ras-related GTP binding B
Ilk	integrin linked kinase
Hlcs	holocarboxylase synthetase (biotin- [propriony-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)
Gm13531	predicted gene 13531
Prkag2	protein kinase, AMP-activated, gamma 2 non-catalytic subunit
Gm22710	NA
Vps54	VPS54 GARP complex subunit
Gm10767	NA
4930474H06Rik	RIKEN cDNA 4930474H06 gene
Arl2	ADP-ribosylation factor-like 2
Lgmn	legumain
Gm24653	predicted gene, 24653
Gm14912	heat shock protein 90, alpha (cytosolic), class A member 1 pseudogene
Fam136b-ps	family with sequence similarity 136, member B, pseudogene
Gm23937	NA
Defb44-ps	defensin beta 44, pseudogene
Stk32a	serine/threonine kinase 32A
Gm7416	methionine aminopeptidase 2 pseudogene
RMST_9	NA
Gm12234	NA
Gm17103	NA
Il10rb	interleukin 10 receptor, beta
Gm16074	ring finger protein 4 pseudogene
n-R5s175	NA
Vmn1r214	vomeronasal 1 receptor 214
Igll1	immunoglobulin lambda-like polypeptide 1
Gm21985	predicted gene 21985
Hrnr	hornerin
Gm25082	NA
